Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
InitialPageLoad,100,594,79,1992,441.34,0.000%,42.17630,64.46,5.11,1565.0
Bootstrap css,100,786,146,2243,554.89,0.000%,30.03003,4592.84,4.90,156612.0
Bootstrap icon css,100,203,27,1969,245.56,0.000%,33.34445,2170.61,5.57,66659.0
Bootstrap js,100,189,34,809,137.13,0.000%,27.88622,2171.15,4.68,79726.0
Own stylesheet,100,401,96,1132,207.81,0.000%,24.19550,3208.87,3.66,135805.7
Runtime,100,133,17,505,79.41,0.000%,26.10966,70.94,3.95,2782.2
Polyfills,100,155,47,411,57.71,0.000%,26.65245,971.82,4.09,37337.8
Main,100,3270,636,5275,899.74,0.000%,16.81520,26359.89,2.50,1605245.4
TOTAL,800,717,17,5275,1077.16,0.000%,103.49288,26349.92,15.83,260716.6
