Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
InitialPageLoad,1000,7139,228,314814,17780.40,0.900%,3.06506,4.72,0.37,1577.8
Bootstrap css,997,10160,133,314819,19962.98,1.304%,3.06104,462.16,0.49,154604.8
Bootstrap icon css,994,2998,27,85747,7842.18,0.000%,5.92891,385.95,0.99,66659.0
Bootstrap js,994,3661,25,183573,10902.47,0.000%,4.68227,364.55,0.79,79726.0
Own stylesheet,994,6683,54,194062,15387.62,0.000%,4.59377,609.27,0.70,135812.0
Runtime,994,1624,8,54057,3973.66,0.101%,4.59713,12.51,0.70,2787.2
Polyfills,994,3211,13,84675,9028.50,0.101%,4.59974,167.58,0.70,37307.4
Main,994,10960,80,305507,16912.91,0.201%,3.06160,4789.80,0.45,1602024.7
TOTAL,7961,5807,8,314819,14147.90,0.327%,24.40093,6191.45,3.72,259827.8
